frame,t,state,red_score,amber_score,green_score,before_v2_rule
360,12.012,red,143.1,-4.7,1.6,red
363,12.112,red,142.4,-5.6,1.1,red
366,12.212,red,142.0,-4.6,-0.0,red
369,12.312,red,142.4,-5.9,0.1,red
372,12.412,red,142.5,-6.1,2.1,red
375,12.513,red,143.2,-5.3,0.3,red
378,12.613,red,143.8,-4.3,1.3,red
381,12.713,red,142.9,-4.5,0.2,red
384,12.813,red,143.4,-5.5,0.3,red
387,12.913,red,142.8,-5.6,0.4,red
390,13.013,red,142.9,-5.4,-0.0,red
393,13.113,red,142.1,-4.4,-0.2,red
396,13.213,red,143.6,-4.5,-0.2,red
399,13.313,red,141.7,-5.6,0.2,red
402,13.413,red,142.9,-5.5,0.7,red
405,13.514,red,142.3,-6.1,1.4,red
408,13.614,red,142.3,-6.3,1.4,red
411,13.714,red,142.6,-5.2,0.4,red
414,13.814,red,143.7,-5.5,1.2,red
417,13.914,red,142.0,-5.4,1.8,red
420,14.014,red,142.5,-6.2,1.3,red
423,14.114,red,142.6,-4.9,1.2,red
426,14.214,red,142.1,-5.6,2.1,red
429,14.314,red,143.3,-5.2,0.7,red
432,14.414,red,142.5,-5.4,1.3,red
435,14.514,red,141.6,-5.8,1.0,red
438,14.615,red,140.9,-5.5,1.4,red
441,14.715,red,140.9,-5.4,1.1,red
444,14.815,red,141.8,-6.4,-1.0,red
447,14.915,red,142.0,-6.2,1.0,red
450,15.015,red,142.0,-5.0,0.1,red
453,15.115,red,142.4,-5.1,1.0,red
456,15.215,red,142.3,-5.1,1.3,red
459,15.315,red,141.3,-5.6,0.6,red
462,15.415,red,143.0,-4.3,1.9,red
465,15.516,red,140.8,-5.3,1.9,red
468,15.616,red,141.7,-6.1,0.4,red
471,15.716,red,142.0,-6.0,0.7,red
474,15.816,red,141.3,-5.1,1.6,red
477,15.916,red,142.8,-5.1,1.1,red
480,16.016,red,142.9,-5.0,0.8,red
483,16.116,red,142.5,-5.4,2.6,red
486,16.216,red,141.9,-5.4,1.4,red
489,16.316,red,141.8,-5.4,-0.3,red
492,16.416,red,142.4,-6.0,0.5,red
495,16.516,red,142.8,-5.9,1.5,red
498,16.617,red,142.7,-4.1,0.6,red
501,16.717,red,143.0,-4.8,2.2,red
504,16.817,red,142.6,-4.6,0.7,red
507,16.917,red,141.2,-4.1,0.8,red
510,17.017,red,142.5,-5.3,0.8,red
513,17.117,red,141.5,-5.3,1.1,red
516,17.217,red,141.8,-4.8,1.3,red
519,17.317,red,142.1,-4.5,0.7,red
522,17.417,red,143.6,-6.5,0.3,red
525,17.518,red,142.5,-4.9,0.6,red
528,17.618,red,141.5,-4.9,1.8,red
531,17.718,red,142.0,-4.7,0.5,red
534,17.818,red,142.4,-5.7,1.8,red
537,17.918,red,142.9,-4.9,2.0,red
540,18.018,red,143.2,-5.9,0.4,red
543,18.118,red,143.2,-4.6,1.3,red
546,18.218,red,143.0,-5.7,1.6,red
549,18.318,red,143.0,-6.4,1.9,red
552,18.418,red,144.1,-4.7,1.1,red
555,18.518,red,142.8,-5.3,1.6,red
558,18.619,red,143.6,-5.2,1.1,red
561,18.719,red,143.1,-5.8,1.6,red
564,18.819,red,142.6,-6.0,0.6,red
567,18.919,red,142.9,-5.2,-0.3,red
570,19.019,red,142.1,-5.0,0.4,red
573,19.119,red,143.6,-5.4,0.8,red
576,19.219,red,144.0,-5.3,2.3,red
579,19.319,red,143.7,-5.6,1.1,red
582,19.419,red,142.9,-5.1,1.8,red
585,19.52,red,143.9,-4.8,2.2,red
588,19.62,red,143.9,-5.9,1.1,red
591,19.72,red,143.3,-4.3,1.4,red
594,19.82,red,142.7,-5.0,0.2,red
597,19.92,red,143.4,-3.7,-0.1,red
600,20.02,red,142.5,-5.5,1.2,red
603,20.12,red,142.8,-5.7,1.1,red
606,20.22,red,141.9,-4.4,1.5,red
609,20.32,red,143.0,-5.9,0.7,red
612,20.42,red,142.5,-5.1,1.3,red
615,20.521,red,142.5,-5.1,-0.5,red
